profile_id,schema_version,university_id,program_id,education_level,class_year,interest_ids,participation_goal_ids,participation_modes,fee_preference,language_preference
1,2.0,yok-bogazici,medicine,bachelor,4,travel;game-development;data-science,learn;compete,onsite,paid_ok,en
2,2.0,yok-itu,industrial-engineering,bachelor,2,theatre;social-sciences;product;mental-health;nutrition;sustainability;graphic-design;sports,compete;social-impact;career,hybrid;online,free_only,no_preference
3,2.0,yok-iyte,computer-engineering,bachelor,1,languages;social-responsibility;health-sciences;nutrition;photography;international-community;mobile-development,network;career;learn,online;hybrid,free_only,no_preference
4,2.0,yok-yildiz,computer-engineering,bachelor,4,sustainability;web-development;ui-ux;cybersecurity,compete,online,paid_ok,en
5,2.0,yok-ankara,computer-engineering,bachelor,3,sports;mental-health;mobile-development;finance;graphic-design;sustainability;cybersecurity;social-sciences,social-impact;network;compete,onsite,no_preference,tr
6,2.0,yok-iyte,medicine,bachelor,2,sustainability;graphic-design;volunteering,compete;build-project;network,online;onsite,free_only,tr
7,2.0,yok-yildiz,graphic-design,bachelor,2,ai;international-community;graphic-design,compete;build-project,hybrid,no_preference,en
8,2.0,yok-bogazici,medicine,bachelor,5,volunteering;sustainability;ui-ux;web-development;health-sciences;game-development;travel;cybersecurity,career;network;compete,online,paid_ok,no_preference
9,2.0,yok-iyte,computer-engineering,bachelor,1,photography;finance;nutrition,network;career;build-project,onsite;online,free_only,en
10,2.0,yok-hacettepe,graphic-design,bachelor,3,game-development;web-development;graphic-design;entrepreneurship;mental-health,social-impact,online,no_preference,no_preference
11,2.0,yok-iyte,business,bachelor,4,mobile-development;ui-ux;culture,learn;career;social-impact,onsite;hybrid,paid_ok,no_preference
12,2.0,yok-ankara,psychology,bachelor,1,game-development;sustainability;web-development,network,online,free_only,no_preference
13,2.0,yok-bogazici,business,bachelor,4,nutrition;mental-health;engineering,career;learn,hybrid;online,no_preference,no_preference
14,2.0,yok-iyte,industrial-engineering,bachelor,1,ui-ux;data-science;sustainability;health-sciences,network;compete;build-project,onsite,free_only,en
15,2.0,yok-hacettepe,psychology,bachelor,4,social-sciences;health-sciences;volunteering;ai;product;music;international-community;photography,network,onsite,paid_ok,tr
16,2.0,yok-ankara,psychology,bachelor,4,languages;career;sustainability;web-development;mental-health;international-community,compete;network;learn,hybrid,free_only,tr
17,2.0,yok-iyte,graphic-design,bachelor,3,theatre;social-sciences;product;ai;game-development,network,online;hybrid,no_preference,no_preference
18,2.0,yok-yildiz,business,bachelor,3,graphic-design;social-sciences;photography,compete,online,paid_ok,tr
19,2.0,yok-hacettepe,computer-engineering,bachelor,1,ai;graphic-design;theatre;data-science;product;volunteering,career,online,no_preference,no_preference
20,2.0,yok-hacettepe,medicine,bachelor,2,social-responsibility;entrepreneurship;volunteering;mobile-development;game-development;sports;engineering;nutrition,compete;social-impact;career,online,paid_ok,en
21,2.0,yok-iyte,psychology,bachelor,2,languages;cybersecurity;data-science;volunteering;mental-health,social-impact,hybrid;onsite,free_only,tr
22,2.0,yok-itu,business,bachelor,1,graphic-design;wellbeing;ui-ux;cybersecurity;photography;volunteering;culture,career;build-project,online;hybrid,no_preference,no_preference
23,2.0,yok-iyte,industrial-engineering,bachelor,3,sports;music;wellbeing;natural-sciences;web-development;international-community;culture,compete;career;learn,online;onsite,paid_ok,en
24,2.0,yok-itu,industrial-engineering,bachelor,1,entrepreneurship;web-development;sports;volunteering;culture;mental-health;international-community,career;build-project;network,onsite,no_preference,no_preference
25,2.0,yok-hacettepe,computer-engineering,bachelor,1,volunteering;nutrition;international-community;game-development;ai;social-sciences,career,hybrid,paid_ok,no_preference
26,2.0,yok-iyte,medicine,bachelor,3,photography;product;theatre;finance;entrepreneurship,learn;compete;build-project,hybrid;online,free_only,no_preference
27,2.0,yok-iyte,medicine,bachelor,3,sustainability;international-community;theatre;finance;social-sciences;photography;career,compete,online,free_only,no_preference
28,2.0,yok-itu,business,bachelor,3,web-development;ai;game-development;mental-health;graphic-design;entrepreneurship;volunteering;wellbeing,social-impact,hybrid,free_only,tr
29,2.0,yok-hacettepe,computer-engineering,bachelor,4,languages;theatre;international-community;sports;mental-health;volunteering;photography,career,onsite;online,no_preference,no_preference
30,2.0,yok-bogazici,computer-engineering,bachelor,1,culture;mobile-development;game-development;product,compete;social-impact,onsite,no_preference,tr
31,2.0,yok-bogazici,graphic-design,bachelor,1,social-sciences;sports;web-development;game-development;languages;mobile-development,network,hybrid;online,free_only,no_preference
32,2.0,yok-yildiz,medicine,bachelor,6,photography;data-science;volunteering;health-sciences;mental-health,compete;network,onsite,no_preference,no_preference
33,2.0,yok-itu,psychology,bachelor,3,sustainability;nutrition;health-sciences;languages,compete;network,hybrid;onsite,paid_ok,no_preference
34,2.0,yok-bogazici,medicine,bachelor,4,wellbeing;data-science;sustainability;travel;game-development,social-impact,online;onsite,free_only,no_preference
35,2.0,yok-bogazici,business,bachelor,2,sustainability;culture;entrepreneurship;web-development;career;wellbeing;mobile-development,network,onsite;hybrid,paid_ok,tr
36,2.0,yok-bogazici,computer-engineering,bachelor,4,ai;health-sciences;nutrition;social-sciences,compete;social-impact;build-project,onsite,paid_ok,tr
37,2.0,yok-ankara,medicine,bachelor,1,ui-ux;languages;entrepreneurship;cybersecurity;finance;social-sciences,career;learn,onsite,no_preference,no_preference
38,2.0,yok-hacettepe,graphic-design,bachelor,3,natural-sciences;career;nutrition;cybersecurity;mobile-development;product;culture;theatre,learn,hybrid;onsite,free_only,no_preference
39,2.0,yok-ankara,industrial-engineering,bachelor,3,career;music;theatre;ai,network;social-impact;build-project,onsite,paid_ok,no_preference
40,2.0,yok-hacettepe,business,bachelor,3,nutrition;mental-health;finance,social-impact;career;build-project,onsite;online,no_preference,tr
41,2.0,yok-hacettepe,medicine,bachelor,6,career;health-sciences;cybersecurity;travel,learn;social-impact,onsite,paid_ok,tr
42,2.0,yok-yildiz,computer-engineering,bachelor,4,finance;travel;international-community;game-development,network,online,no_preference,tr
43,2.0,yok-hacettepe,graphic-design,bachelor,4,languages;health-sciences;entrepreneurship;mobile-development;ai;sports;culture,network;compete;learn,onsite,no_preference,en
44,2.0,yok-ankara,business,bachelor,4,mental-health;web-development;data-science;music;sustainability,social-impact;network;learn,online,free_only,en
45,2.0,yok-bogazici,graphic-design,bachelor,1,web-development;game-development;wellbeing;theatre;product;sustainability;social-responsibility,compete;build-project,onsite;hybrid,paid_ok,no_preference
46,2.0,yok-hacettepe,psychology,bachelor,2,international-community;mobile-development;health-sciences;mental-health;graphic-design,career;build-project,hybrid;onsite,free_only,no_preference
47,2.0,yok-itu,industrial-engineering,bachelor,1,data-science;social-responsibility;wellbeing;health-sciences;natural-sciences,social-impact,hybrid;online,paid_ok,no_preference
48,2.0,yok-itu,graphic-design,bachelor,2,entrepreneurship;sustainability;photography;nutrition;web-development;wellbeing;health-sciences;mental-health,build-project;career;social-impact,onsite;online,no_preference,no_preference
49,2.0,yok-hacettepe,computer-engineering,bachelor,1,music;health-sciences;product;finance,compete;social-impact;network,hybrid;online,free_only,tr
50,2.0,yok-ankara,psychology,bachelor,4,wellbeing;web-development;volunteering;theatre,network;social-impact;compete,hybrid,paid_ok,en
51,2.0,yok-bogazici,business,bachelor,3,languages;music;career,build-project;compete,onsite;hybrid,free_only,tr
52,2.0,yok-itu,psychology,bachelor,3,mental-health;travel;web-development;game-development,compete,online;hybrid,free_only,en
53,2.0,yok-iyte,medicine,bachelor,5,natural-sciences;culture;health-sciences;product,career;build-project;compete,onsite,no_preference,no_preference
54,2.0,yok-iyte,business,bachelor,4,mental-health;travel;international-community;mobile-development;ui-ux;social-sciences,network;career,hybrid,free_only,no_preference
55,2.0,yok-hacettepe,computer-engineering,bachelor,3,travel;natural-sciences;languages;engineering;sustainability;cybersecurity,learn;build-project;social-impact,online;hybrid,no_preference,no_preference
56,2.0,yok-hacettepe,psychology,bachelor,3,data-science;graphic-design;ai,learn;career,hybrid,free_only,tr
57,2.0,yok-bogazici,medicine,bachelor,6,music;product;social-sciences;health-sciences,career,onsite,free_only,en
58,2.0,yok-itu,industrial-engineering,bachelor,4,volunteering;photography;international-community,social-impact;compete;career,onsite,free_only,en
59,2.0,yok-hacettepe,psychology,bachelor,1,data-science;ai;engineering;mental-health;entrepreneurship;photography;cybersecurity,learn;build-project,online,free_only,tr
60,2.0,yok-ankara,computer-engineering,bachelor,1,ui-ux;engineering;natural-sciences;finance;social-responsibility;wellbeing;mental-health;culture,build-project;compete;learn,onsite;hybrid,free_only,tr
61,2.0,yok-hacettepe,graphic-design,bachelor,1,wellbeing;engineering;photography;ui-ux;languages,career,hybrid;onsite,paid_ok,no_preference
62,2.0,yok-itu,graphic-design,bachelor,4,music;finance;engineering;health-sciences,compete,hybrid;online,no_preference,no_preference
63,2.0,yok-bogazici,business,bachelor,1,health-sciences;web-development;mobile-development;ui-ux;culture;entrepreneurship;cybersecurity;game-development,learn,hybrid;onsite,paid_ok,en
64,2.0,yok-iyte,graphic-design,bachelor,3,international-community;mobile-development;health-sciences;engineering;game-development,career,onsite;hybrid,no_preference,en
65,2.0,yok-ankara,business,bachelor,4,product;health-sciences;web-development;game-development;culture;travel,network;learn;social-impact,online;onsite,no_preference,no_preference
66,2.0,yok-bogazici,industrial-engineering,bachelor,2,ai;product;mobile-development,network,hybrid;online,no_preference,en
67,2.0,yok-iyte,industrial-engineering,bachelor,4,entrepreneurship;sustainability;nutrition;mobile-development;data-science,learn;career,hybrid,no_preference,en
68,2.0,yok-bogazici,medicine,bachelor,4,cybersecurity;web-development;finance;game-development,social-impact;learn,online;onsite,no_preference,en
69,2.0,yok-hacettepe,psychology,bachelor,1,sports;engineering;international-community;travel;social-responsibility;culture,career,hybrid,free_only,en
70,2.0,yok-ankara,medicine,bachelor,1,web-development;engineering;career;mental-health,network;build-project;career,hybrid,no_preference,en
71,2.0,yok-iyte,business,bachelor,2,cybersecurity;theatre;game-development;social-sciences,learn;build-project;career,hybrid,no_preference,en
72,2.0,yok-yildiz,medicine,bachelor,4,graphic-design;social-responsibility;theatre;mental-health,compete;career;social-impact,hybrid,paid_ok,en
73,2.0,yok-hacettepe,psychology,bachelor,2,international-community;travel;graphic-design,compete;build-project,hybrid;online,no_preference,tr
74,2.0,yok-bogazici,computer-engineering,bachelor,1,ui-ux;finance;international-community,social-impact,online,no_preference,tr
75,2.0,yok-bogazici,psychology,bachelor,4,social-responsibility;social-sciences;engineering;ui-ux;travel,social-impact;learn;network,hybrid,paid_ok,no_preference
76,2.0,yok-itu,business,bachelor,2,graphic-design;product;web-development;mental-health;sustainability;career;photography,career;compete;learn,online,paid_ok,tr
