event_id,club_id,university_id,title,description,category,event_type,level,date,time,location,location_type,quota,target_interests,target_departments,target_goals,fee_type,language
1,1,yok-bogazici,Üretken Yapay Zekâ Atölyesi,"Üretken Yapay Zekâ Atölyesi, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",technology,workshop,all,2026-08-03,13.00,Boğaziçi Üniversitesi - Kampüs Etkinlik Alanı,onsite,35,ai;data-science,all,learn;career,free,tr
2,2,yok-hacettepe,Mobil Uygulama Geliştirme Günü,"Mobil Uygulama Geliştirme Günü, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",technology,seminar,all,2026-08-05,15.00,Hacettepe Üniversitesi - Kampüs Etkinlik Alanı,hybrid,45,mobile-development;product,all,network;build-project,free,tr
3,1,yok-itu,Siber Güvenliğe İlk Adım,"Siber Güvenliğe İlk Adım, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",technology,networking,all,2026-08-07,17.30,Çevrim içi,online,55,cybersecurity;web-development,all,career;compete,free,tr
4,2,yok-iyte,Veriden Hikâye Çıkarma,"Veriden Hikâye Çıkarma, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",technology,social,all,2026-08-09,11.00,İzmir Yüksek Teknoloji Enstitüsü - Kampüs Etkinlik Alanı,onsite,65,data-science;ai,all,build-project;social-impact,free,tr
5,1,yok-yildiz,Oyun Geliştirme Maratonu,"Oyun Geliştirme Maratonu, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",technology,competition,all,2026-08-11,13.00,Yıldız Teknik Üniversitesi - Kampüs Etkinlik Alanı,hybrid,75,game-development;product,all,compete;learn,free,tr
6,2,yok-ankara,Modern Web Teknolojileri,"Modern Web Teknolojileri, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",technology,conference,all,2026-08-13,15.30,Çevrim içi,online,25,web-development;ui-ux,all,social-impact;network,free,tr
7,1,yok-bogazici,Açık Kaynak Katkı Buluşması,"Açık Kaynak Katkı Buluşması, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",technology,trip,all,2026-08-15,17.00,Boğaziçi Üniversitesi - Kampüs Etkinlik Alanı,onsite,35,web-development;career,all,learn;career,paid,tr
8,2,yok-hacettepe,No-Code Ürün Sprinti,"No-Code Ürün Sprinti, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",technology,workshop,all,2026-08-17,11.00,Hacettepe Üniversitesi - Kampüs Etkinlik Alanı,hybrid,45,product;mobile-development,all,network;build-project,free,tr
9,3,yok-iyte,Fikirden Ürüne Girişimcilik,"Fikirden Ürüne Girişimcilik, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",career,networking,all,2026-08-19,13.30,İzmir Yüksek Teknoloji Enstitüsü - Kampüs Etkinlik Alanı,hybrid,55,entrepreneurship;product,all,network;career,free,en
10,4,yok-yildiz,Staj Mülakatı Simülasyonu,"Staj Mülakatı Simülasyonu, farklı bölümlerden öğrencilerin birlikte öğrenmesi, yeni bağlantılar kurması ve kampüs deneyimini zenginleştirmesi için hazırlanan uygulamalı bir demo etkinliğidir.",career,social,all,2026-08-21,15.00,Çevrim içi,online,65,career;entrepreneurship,all,career;build-project,free,tr
