kullanici_id,etkinlik_id,zaman_farki_dk,is_swiped_right,ekranda_kalma_suresi_sn,kampus_id,bolum_kodu,sinif,kullanici_guven_puani,dinamik_ilgi_spor,dinamik_ilgi_oyun,dinamik_ilgi_akademik,etkinlik_kategorisi,etkinlik_turu,olusturan_guven_puani,etkinlik_ucreti,zaman_lokasyon
103,103,870,1,9,1,3,3,4.9,0.2688,0.1443,0.5869,2,0,3.84,0,1
436,180,838,1,13,2,3,1,4.76,0.4164,0.2546,0.329,1,0,3.91,1,1
861,93,1403,0,2,3,10,2,4.59,0.0433,0.7255,0.2312,3,0,4.23,0,1
271,15,489,0,1,1,3,2,4.52,0.6814,0.297,0.0216,2,1,5.0,1,0
107,107,702,0,3,2,3,2,4.86,0.1356,0.2295,0.6349,2,0,3.23,1,1
72,72,687,0,2,1,3,2,4.57,0.1435,0.7035,0.153,2,0,3.53,1,1
701,189,1314,0,2,3,6,1,4.6,0.7254,0.224,0.0506,3,0,4.21,0,1
21,21,996,1,14,2,1,4,4.84,0.1912,0.123,0.6858,3,1,5.0,0,0
615,103,357,0,3,2,7,2,4.67,0.1317,0.216,0.6523,2,0,3.84,0,1
122,122,872,0,1,1,1,1,5.0,0.1917,0.6897,0.1186,2,0,3.11,1,0
467,75,204,0,4,1,2,3,4.86,0.4052,0.5177,0.0771,2,0,4.24,1,0
215,88,1237,1,5,3,6,3,4.96,0.3118,0.5208,0.1674,1,0,4.53,0,1
331,117,552,1,8,1,3,4,4.63,0.5165,0.3814,0.1021,3,0,4.17,0,1
459,100,323,1,11,2,4,1,4.74,0.0973,0.7008,0.2019,1,0,4.53,0,1
88,104,594,1,13,3,8,4,4.67,0.8395,0.0275,0.133,2,0,3.09,0,1
373,152,181,0,2,2,3,2,4.92,0.0383,0.8384,0.1233,2,0,4.33,1,0
100,131,499,0,4,3,4,4,4.69,0.1859,0.7458,0.0683,2,0,4.11,1,0
872,150,1344,1,8,2,4,3,4.82,0.7347,0.2068,0.0585,1,0,4.46,0,1
664,53,83,0,3,1,7,4,4.84,0.4461,0.4948,0.0591,1,0,3.68,1,0
131,2,303,0,2,2,1,1,4.6,0.8236,0.0941,0.0823,3,1,5.0,0,1
662,88,262,1,9,1,8,3,4.92,0.7437,0.1615,0.09480000000000001,1,0,4.53,0,1
309,158,784,1,5,1,4,2,4.59,0.6226,0.0256,0.3518,3,0,4.83,0,1
770,38,1224,0,1,1,2,2,4.74,0.6381,0.0803,0.28159999999999996,2,1,5.0,0,1
344,130,1264,1,14,2,7,4,4.54,0.6514,0.0139,0.3347,1,0,4.06,0,0
492,192,914,0,3,2,8,1,4.72,0.2569,0.1965,0.5466,2,0,4.18,1,1
414,188,692,0,4,3,4,2,4.56,0.055,0.5436,0.4014,2,0,4.73,1,0
806,21,944,0,2,2,6,1,4.62,0.8637,0.126,0.0103,3,1,5.0,0,0
386,161,683,0,4,1,8,4,4.62,0.3779,0.0467,0.5754,1,0,4.64,1,0
192,58,1319,1,6,2,9,3,4.7,0.1638,0.3337,0.5025,2,0,4.33,1,1
