schema_version,profile_id,interest_id,weight,explicit_weight,behavior_weight,updated_at
3.0,profile-v3-0001,travel,0.333333,0.333333,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0001,game-development,0.333333,0.333333,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0001,data-science,0.333333,0.333333,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0002,theatre,0.125,0.125,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0002,social-sciences,0.125,0.125,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0002,product,0.125,0.125,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0002,mental-health,0.125,0.125,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0002,nutrition,0.125,0.125,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0002,sustainability,0.125,0.125,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0002,graphic-design,0.125,0.125,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0002,sports,0.125,0.125,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0003,languages,0.142857,0.142857,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0003,social-responsibility,0.142857,0.142857,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0003,health-sciences,0.142857,0.142857,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0003,nutrition,0.142857,0.142857,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0003,photography,0.142857,0.142857,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0003,international-community,0.142857,0.142857,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0003,mobile-development,0.142857,0.142857,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0004,sustainability,0.25,0.25,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0004,web-development,0.25,0.25,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0004,ui-ux,0.25,0.25,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0004,cybersecurity,0.25,0.25,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0005,sports,0.125,0.125,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0005,mental-health,0.125,0.125,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0005,mobile-development,0.125,0.125,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0005,finance,0.125,0.125,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0005,graphic-design,0.125,0.125,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0005,sustainability,0.125,0.125,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0005,cybersecurity,0.125,0.125,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0005,social-sciences,0.125,0.125,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0006,sustainability,0.333333,0.333333,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0006,graphic-design,0.333333,0.333333,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0006,volunteering,0.333333,0.333333,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0007,ai,0.333333,0.333333,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0007,international-community,0.333333,0.333333,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0007,graphic-design,0.333333,0.333333,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0008,volunteering,0.125,0.125,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0008,sustainability,0.125,0.125,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0008,ui-ux,0.125,0.125,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0008,web-development,0.125,0.125,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0008,health-sciences,0.125,0.125,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0008,game-development,0.125,0.125,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0008,travel,0.125,0.125,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0008,cybersecurity,0.125,0.125,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0009,photography,0.333333,0.333333,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0009,finance,0.333333,0.333333,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0009,nutrition,0.333333,0.333333,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0010,game-development,0.2,0.2,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0010,web-development,0.2,0.2,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0010,graphic-design,0.2,0.2,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0010,entrepreneurship,0.2,0.2,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0010,mental-health,0.2,0.2,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0011,mobile-development,0.333333,0.333333,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0011,ui-ux,0.333333,0.333333,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0011,culture,0.333333,0.333333,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0012,game-development,0.333333,0.333333,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0012,sustainability,0.333333,0.333333,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0012,web-development,0.333333,0.333333,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0013,nutrition,0.333333,0.333333,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0013,mental-health,0.333333,0.333333,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0013,engineering,0.333333,0.333333,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0014,ui-ux,0.25,0.25,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0014,data-science,0.25,0.25,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0014,sustainability,0.25,0.25,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0014,health-sciences,0.25,0.25,0.0,2026-08-01T09:00:00+00:00
3.0,profile-v3-0015,social-sciences,0.125,0.125,0.0,2026-08-01T09:00:00+00:00
