organizer_id,schema_version,user_id,organizer_type,display_name,university_id,verification_status,trust_score,rating_count,is_blacklisted,blacklist_reason,created_at,updated_at
organizer-v3-001,3.0,,company,CampusMatch Kurum 1,yok-bogazici,verified,3.93,22,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-002,3.0,,club,CampusMatch Kurum 2,yok-iyte,verified,3.42,42,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-003,3.0,,club,CampusMatch Kurum 3,yok-hacettepe,verified,4.96,34,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-004,3.0,,university,CampusMatch Kurum 4,yok-iyte,verified,3.51,60,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-005,3.0,,company,CampusMatch Kurum 5,yok-itu,verified,4.44,34,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-006,3.0,,municipality,CampusMatch Kurum 6,yok-iyte,verified,4.84,51,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-007,3.0,,municipality,CampusMatch Kurum 7,yok-ankara,verified,4.44,28,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-008,3.0,,club,CampusMatch Kurum 8,yok-hacettepe,verified,4.69,80,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-009,3.0,,club,CampusMatch Kurum 9,yok-ankara,verified,3.47,2,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-010,3.0,,municipality,CampusMatch Kurum 10,yok-bogazici,verified,3.85,35,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-011,3.0,,club,CampusMatch Kurum 11,yok-bogazici,verified,4.85,64,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-012,3.0,,club,CampusMatch Kurum 12,yok-bogazici,verified,3.43,61,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-013,3.0,,club,CampusMatch Kurum 13,yok-ankara,verified,3.82,43,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-014,3.0,,club,CampusMatch Kurum 14,yok-yildiz,verified,4.39,49,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-015,3.0,,club,CampusMatch Kurum 15,yok-bogazici,verified,4.05,37,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-016,3.0,,company,CampusMatch Kurum 16,yok-bogazici,verified,4.68,22,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-017,3.0,,university,CampusMatch Kurum 17,yok-iyte,verified,3.4,79,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-018,3.0,,university,CampusMatch Kurum 18,yok-yildiz,verified,4.56,0,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-019,3.0,,company,CampusMatch Kurum 19,yok-hacettepe,verified,4.3,26,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-020,3.0,,company,CampusMatch Kurum 20,yok-bogazici,verified,3.42,72,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-021,3.0,,club,CampusMatch Kurum 21,yok-itu,verified,3.4,31,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-022,3.0,,company,CampusMatch Kurum 22,yok-ankara,verified,4.76,75,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-023,3.0,,company,CampusMatch Kurum 23,yok-iyte,verified,4.94,64,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-024,3.0,,company,CampusMatch Kurum 24,yok-bogazici,verified,4.91,17,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-025,3.0,,university,CampusMatch Kurum 25,yok-hacettepe,verified,4.85,22,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-026,3.0,,university,CampusMatch Kurum 26,yok-itu,verified,4.17,27,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-027,3.0,,municipality,CampusMatch Kurum 27,yok-yildiz,verified,3.32,2,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
organizer-v3-028,3.0,,club,CampusMatch Kurum 28,yok-yildiz,verified,4.13,15,false,,2026-08-01T09:00:00+00:00,2026-08-01T09:00:00+00:00
