interaction_id,profile_id,event_id,action,dwell_time_seconds,interest_overlap_count,goal_overlap_count
1,802,370,like,86,0,0
2,632,491,like,67,1,0
3,957,11,view_detail,61,1,2
4,672,252,view_detail,54,0,1
5,3,342,apply,82,1,1
6,744,23,view_detail,37,1,0
7,726,72,skip,3,0,2
8,592,479,like,55,0,2
9,420,270,save,47,0,0
10,326,201,view_detail,11,0,0
11,364,386,view_detail,30,0,2
12,792,17,skip,1,1,0
13,618,104,skip,3,1,1
14,347,351,skip,5,0,1
15,313,498,like,14,1,0
16,583,280,apply,72,2,0
17,980,189,skip,4,0,0
18,2,30,apply,90,1,0
19,343,401,skip,2,1,2
20,273,145,skip,4,0,1
21,488,130,view_detail,36,1,1
22,371,6,view_detail,85,1,2
23,128,322,skip,2,0,1
24,796,411,view_detail,64,0,1
25,291,174,like,30,0,1
26,897,55,like,10,0,0
27,13,347,skip,3,0,1
28,476,44,skip,3,0,1
29,464,61,skip,5,0,1
30,46,421,skip,5,1,1
31,746,378,like,36,0,1
32,711,418,skip,1,0,1
33,952,252,view_detail,40,1,1
34,731,68,view_detail,15,1,1
35,722,185,view_detail,84,0,1
36,748,201,view_detail,39,0,2
37,875,7,skip,5,1,2
38,25,191,skip,5,1,1
39,674,357,save,45,1,1
40,211,386,skip,4,0,0
41,791,52,skip,1,0,0
42,454,367,skip,3,1,1
43,422,277,skip,3,0,1
44,815,61,skip,3,0,1
45,663,478,skip,1,1,1
46,43,63,view_detail,10,0,1
47,93,37,skip,4,0,0
48,507,141,view_detail,7,0,2
49,498,193,skip,5,0,3
50,984,425,view_detail,87,0,0
51,927,340,skip,3,0,1
52,750,229,skip,4,2,1
53,300,312,skip,5,0,0
54,180,10,view_detail,82,3,2
55,633,133,save,20,0,2
56,673,163,view_detail,71,2,0
57,429,89,skip,3,1,0
58,547,474,skip,1,0,1
59,429,55,skip,4,0,0
60,882,498,skip,2,0,0
61,591,317,view_detail,28,0,1
62,805,392,like,13,0,0
63,288,385,view_detail,57,0,1
64,633,96,view_detail,64,0,1
65,980,165,apply,77,0,0
66,529,399,skip,5,1,1
67,960,229,save,25,0,0
68,915,145,skip,3,1,0
69,789,483,like,20,1,0
70,162,136,view_detail,70,1,0
71,668,265,view_detail,62,1,1
72,207,409,skip,5,0,3
73,374,331,skip,5,0,1
74,181,372,apply,66,2,2
75,32,350,skip,1,1,0
76,556,101,skip,3,0,2
77,624,185,like,79,0,0
78,585,291,save,6,0,0
79,756,250,save,58,1,1
80,70,43,skip,2,0,0
81,596,318,skip,1,1,0
82,361,147,skip,2,0,1
83,739,325,skip,4,1,1
84,871,97,skip,3,1,0
85,190,169,skip,3,1,1
86,744,354,skip,1,0,1
87,954,419,like,22,0,0
88,297,192,skip,1,0,1
89,277,356,view_detail,89,0,0
90,632,489,view_detail,73,0,1
91,1,148,view_detail,78,0,0
92,451,257,skip,5,0,0
93,64,395,view_detail,21,1,0
94,692,366,like,59,0,1
95,395,152,save,69,0,0
96,643,271,like,80,0,0
97,492,460,skip,2,0,1
98,119,106,like,74,0,1
99,528,390,skip,4,1,1
100,460,19,skip,3,0,0
101,875,423,save,72,0,0
102,792,325,like,54,2,1
103,885,109,skip,2,0,0
104,329,178,like,81,1,1
105,774,141,apply,59,1,0
106,612,500,skip,5,0,1
107,41,20,view_detail,88,0,1
108,62,248,like,17,0,1
109,110,313,skip,5,1,0
110,825,123,skip,4,0,0
111,751,67,skip,1,1,0
112,777,380,save,64,0,0
113,294,176,apply,46,0,0
114,256,420,apply,53,0,1
115,489,351,view_detail,19,0,1
116,989,464,view_detail,38,0,0
117,529,64,like,42,1,2
118,687,179,view_detail,77,1,1
119,878,194,save,41,2,3
120,361,406,view_detail,68,1,1
121,473,270,skip,1,1,0
122,287,419,apply,88,0,0
123,561,33,apply,57,0,0
124,201,219,skip,2,1,1
125,317,47,skip,2,0,1
126,300,478,save,23,1,0
127,3,352,skip,5,1,1
128,82,250,view_detail,64,1,0
129,52,219,view_detail,30,2,0
130,561,169,like,44,0,0
131,501,262,skip,3,0,1
132,255,215,skip,3,0,1
133,346,154,skip,2,1,1
134,412,239,save,34,0,1
135,58,144,skip,1,0,0
136,811,455,view_detail,88,0,0
137,180,445,apply,37,0,1
138,155,182,skip,5,1,2
139,243,391,skip,5,0,1
140,794,89,skip,3,0,0
141,788,426,view_detail,19,0,1
142,37,201,like,89,1,0
143,306,500,apply,20,1,0
144,586,369,save,34,1,1
145,513,415,like,72,1,2
146,561,226,save,49,0,0
147,841,395,save,62,1,0
148,751,295,skip,5,0,1
149,286,266,skip,4,0,0
150,10,418,like,47,0,0
151,998,44,skip,2,0,0
152,683,103,like,57,0,0
153,265,16,like,8,0,2
154,405,213,skip,3,1,1
155,60,207,skip,2,0,1
156,770,480,view_detail,61,0,1
157,159,228,skip,3,0,1
158,144,217,view_detail,67,0,2
159,557,447,skip,1,0,0
160,871,47,save,39,1,0
161,654,289,skip,3,0,1
162,697,144,save,45,0,1
163,445,491,view_detail,28,0,1
164,838,62,apply,76,1,0
165,585,230,skip,2,0,0
166,383,311,save,90,0,2
167,77,125,skip,2,1,1
